名前,区分,盾,鎧,靴,アクセ,理由,ユーザーハルシネーションチェック
ラインハルト,現実,アイアンシールド,かたびら,ナイトブーツ,勇気のバッヂ,初期完成度が高い,
ルーカス,現実,カオスシールド,ルーンベスト,フェアリーブーツ,賢者の証,神秘性維持,
ハインツ,現実,タートルシールド,ラメラーベスト,ゴールドブーツ,ゴールドリング,商人らしさ全振り,
ランドルフ,現実,ボーンシールド,傭兵のマント,ヘヴィブーツ,豪傑の証,老兵感,
シモーヌ,現実,マジックシールド,ルーンベスト,シルバーブーツ,ホーリーアミュレット,医療・聖職感,
みささぎ,現実,カイトシールド,エルフのマント,フェアリーブーツ,水の指輪,和風神秘,
テリー,現実,ラウンドシールド,傭兵のマント,スニーキングブーツ,テツヤリング,裏稼業感,
ドグ,現実,グレートシールド,パワードプロテクター,ヘヴィブーツ,チャンピオンベルト,筋肉鍛冶屋,
ジュリアン,現実,なし,もこもこのシャツ,ピヨピヨサンダル,勇気のバッヂ,少年らしさ,
ひな,現実,なし,もこもこのシャツ,フェアリーブーツ,イルカのブローチ,子供らしい,
エルシェ,現実,なし,プリティかたびら,フェアリーブーツ,幸せの指輪,おしゃれ＋料理,
パルモ,現実,なし,ロイヤルガーター,ゴールドブーツ,ダイヤモンドブローチ,派手好き芸術家,
ダグ,現実,ヘヴィシールド,かたびら,ヘヴィブーツ,チャンピオンベルト,ドワーフ戦士,
マーガレット,現実,マジックシールド,エルフのマント,フェアリーブーツ,風の指輪,ほぼ完成形,
