住民名,部位,ロマン枠（外見重視）,現実枠（低コスト/初期）,選定理由・センスのポイント,ユーザーハルシネーションチェック
リュカ,その他,四幻竜のベスト/ゴーストブーツ/闇の指輪,傭兵のマント/スニーキングブーツ/パラライズリング,「封印の力」を信じる彼らしい、中二病的な格好良さと闇の属性を重視しました 。,
ルーカス,盾,七色の盾,エレメンタルシールド,本物の神である彼には、世界の理（属性）を全て内包するような輝きが必要です 。,
ルーカス,その他,ジェネラルローブ/ロケットウィング/タリスマン,風のマント/フェアリーブーツ/魔法石のイヤリング,神の奇跡（魔法）を補助し、浮世離れした聖人としての神々しさを演出しました 。,
ラインハルト,盾,ナイトシールド,アイアンシールド（初期）,忠誠を誓う騎士の象徴。初期装備の鉄盾から騎士の盾への昇進をイメージしました 。,
ラインハルト,その他,パワードプロテクター/ナイトブーツ/プラチナリング,スケイルベスト/シルバーブーツ/お守り,鎧と盾のバランスを重視し、高潔な騎士道を歩む者の「守り」を固めました 。,
レディア,盾,カオスシールド,カーズシールド,闇の古神龍としての力と、抗えない運命を感じさせる禍々しいアイコンを選定しました 。,
レディア,その他,竜のマント/ゴーストブーツ/古代のペンダント,エルフのマント/ボーンブーツ/闇の指輪,補足の例に基づき、龍の系譜と闇のイメージをロマン枠に詰め込みました 。,
リヴィア,盾,ルーンシールド,マジックシールド,署長としての威厳と、古神龍の真の力を秘めた神秘的な盾を選択しました 。,加入不可
リヴィア,その他,竜のマント/フェアリーブーツ/闇の指輪,傭兵のマント/シルバーブーツ/アメジストの指輪,補足通り、彼女の正体を示唆する龍と闇の意匠を組み合わせています 。,
シモーヌ,盾,エレメンタルシールド,安物の盾,医者としてあらゆる状態異常（属性）に精通している知識の深さを表しました 。,
,その他,ジェネラルローブ/シルバーブーツ/タリスマン,ベスト/レザーブーツ/集中のイヤリング,白衣を思わせるローブと、町の人を診守るための聖印（タリスマン）です 。,
テリー,盾,マジックシールド,ラウンドシールド,鋭い観察眼を持つ探偵には、仕掛けがありそうな装飾盾やシンプルな盾が馴染みます 。,
,その他,傭兵のマント/スニーキングブーツ/奇妙なペンダント,ベスト/スニーキングブーツ/星のペンダント,夜の調査に最適なブーツと、彼のミステリアスな雰囲気を強調するアクセです 。,
ランドルフ,盾,ジェネラルシールド,グレートシールド,元凄腕冒険者としての風格を出すため、将軍や重戦士が扱う威厳ある盾を 。,
,その他,ルーンベスト/ナイトブーツ/勇気のバッヂ,かたびら/ヘヴィブーツ/賢者の証,「かつての英雄」であることを物語る、熟練の装備と勇気の証です 。,
ユキ,盾,さるのぬいぐるみ,スモールシールド,戦いとは無縁な彼女の穏やかさを、可愛らしいアイコンで表現しました 。,加入不可
,その他,モコモコのシャツ/ピヨピヨサンダル/婚約指輪,シャツ/レザーブーツ/お守り,ランドルフへの深い愛情（婚約指輪）と、おばあちゃんらしい温かい服を選びました 。,
ハインツ,盾,ボーンシールド,スモールシールド,彼のジョーク（骨身にしみる）と、ドクロ水晶を好む嗜好から骨の盾をチョイス 。,
,その他,キンキラのシャツ/ゴールドブーツ/ダイヤモンドの指輪,ベスト/レザーブーツ/クリティカルリング,成金趣味的な輝きと、クリティカル（会心の一撃＝ダジャレ）の掛け合わせです 。,
ドグ,盾,ヘヴィシールド,アイアンシールド,頑固な鍛冶屋の親父には、一切の装飾を排した実用本位の重い金属盾が似合います 。,
,その他,パワードプロテクター/テツゲタシューズ/プラチナの腕輪,かたびら/ヘヴィブーツ/銀の腕輪,溶岩や熱に耐えうる重装備と、職人としての腕を象徴するブレスレットです 。,
パルモ,盾,（装備不可：拳）,（装備不可：拳）,拳使いのため盾は除外 。,
,その他,ジェネラルローブ/フェザーブーツ/星のペンダント,キンキラのシャツ/シルバーブーツ/エメラルドの指輪,芸術家としての創造性と、彼の突飛なインスピレーションを星に例えました 。,
ジュリアン,盾,（装備不可：拳）,（装備不可：拳）,拳使いのため盾は除外 。,
,その他,プロテクター/スパイクシューズ/太陽のペンダント,サラシ/レザーブーツ/がんばり屋の軍手,元気いっぱいの男の子。将来のヒーローを目指す太陽のような明るさを重視 。,
ひな,盾,（装備不可：双剣）,（装備不可：双剣）,双剣使いのため盾は除外 。,
,その他,エルフのマント/ピヨピヨサンダル/イルカのブローチ,シャツ/ピヨピヨサンダル/お守り,幼い彼女の可愛らしさと、お母さん（みささぎ）とお揃いのイルカの装飾です 。,
みささぎ,盾,ラウンドシールド,安物の盾,和装に馴染むシンプルな円盾を選択。伝統的な美しさを優先しました 。,
,その他,サラシ/テツゲタシューズ/タリスマン,ベスト/レザーブーツ/お守り,凛とした女将としてのサラシと、娘を守る母の祈りを込めたお札のセットです 。,
エルシェ,盾,（装備不可：拳）,（装備不可：拳）,拳使いのため盾は除外 。,
,その他,モコモコのシャツ/ピヨピヨサンダル/幸せの指輪,ベスト/レザーブーツ/お守り,いつも眠そうな彼女には、寝間着のような柔らかいシャツと、楽に生きるための指輪を 。,
ダグ,盾,ジェネラルシールド,アイアンシールド,かつての軍のリーダーとしての威厳を赤と金の意匠（ジェネラル）で表現。現実はドワーフ的な無骨さを優先しました。,
,その他,ジェネラルローブ／ナイトブーツ／勇気のバッヂ,スケイルベスト／ヘヴィブーツ／安物の腕輪,彼の熱い性格と「英雄」としての側面を、ステータス感のある名称とアイコンで構築しています。,
マーガレット,盾,プリズムシールド,マジックシールド,彼女のテーマである「虹」や「音楽」の彩りを反映。現実は魔導士らしいスマートな盾を選んでいます。,
,その他,竜のマント／フェアリーブーツ／幸せの指輪,エルフのマント／レザーブーツ／サファイアの指輪,補足の例に基づき、ロマン枠は龍との深い縁を、現実枠は彼女の種族（エルフ）としてのアイデンティティを象徴させました。,
